Laptops_Name,Discounted_Price,Actual_Prices,Discount_offered,Processor,RAM,Operating System
Lenovo,"₹43,990","₹51,999",19% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Home Operating System
DELL,"₹16,990","₹34,990",12% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹45,990","₹79,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,01,990","₹1,33,990",29% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Infinix,"₹1,12,990","₹1,44,999",36% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹65,990","₹85,999",45% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹70,647","₹98,390",23% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹49,990","₹82,990",11% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹52,500","₹80,000",36% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹95,990","₹1,04,054",13% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹12,990","₹34,990",13% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹41,990","₹51,999",31% off,Intel Core i7 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
CHUWI,"₹72,990","₹1,43,700",22% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹76,990","₹97,867",35% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
GIGABYTE,"₹18,990","₹34,990",38% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹99,990","₹1,29,999",25% off,Intel Core i7 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
CHUWI,"₹94,999","₹1,15,999",28% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹34,390","₹43,763",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹25,990","₹36,470",27% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹59,990","₹79,990",36% off,Intel Core i3 Processor (11th Gen),512 GB SSD,32 bit Windows 11 Operating System
Infinix,"₹52,990","₹61,023",15% off,Intel Core i3 Processor (11th Gen),256 GB SSD,64 bit Windows 11 Operating System
DELL,"₹79,990","₹92,999",51% off,Intel Core i5 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
HP,"₹1,40,400","₹32,295",50% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹21,990","₹51,999",26% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹43,990","₹34,990",22% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹16,990","₹1,12,990",23% off,Intel Celeron Dual Core Processor,35.56 cm (14 Inch) Touchscreen Display,64 bit Chrome Operating System
Acer,"₹81,990","₹78,590",37% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹65,190","₹84,900",30% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Acer,"₹58,999","₹1,01,705",30% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,64 bit Windows 10 Operating System
HP,"₹82,490","₹1,44,999",22% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
Lenovo,"₹1,12,990","₹85,999",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹65,990","₹57,900",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹32,100","₹67,000",46% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹52,000","₹34,990",36% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
realme,"₹12,990","₹34,990",19% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
WINGS,"₹18,990","₹81,890",23% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹59,390","₹69,999",36% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹47,999","₹52,999",39% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Apple,"₹23,990","₹51,999",26% off,Apple M3 Processor,256 GB SSD,Mac OS Operating System
HP,"₹1,34,900","₹1,29,999",36% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
DELL,"₹41,990","₹51,812",50% off,Intel Core i5 Processor (11th Gen),256 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹99,990","₹74,752",36% off,AMD Ryzen 5 Processor,512 GB SSD,Windows 11 Operating System
CHUWI,"₹35,390","₹61,023",26% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹49,990","₹92,999",22% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹52,990","₹55,090",27% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹79,990","₹67,990",15% off,Intel Core i5 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
HP,"₹35,279","₹69,990",51% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹49,990","₹1,55,990",42% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Apple,"₹52,990","₹51,999",23% off,Apple M3 Processor,512 GB SSD,Mac OS Operating System
HP,"₹1,09,990","₹1,44,999",22% off,Intel Core i5 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
ASUS,"₹43,990","₹78,999",23% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹1,12,990","₹80,596",28% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹38,990","₹34,990",39% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹66,990","₹85,999",34% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ZEBRONICS,"₹12,990","₹99,990",7% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹65,990","₹65,500",62% off,Intel Core i5 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹59,990","₹65,677",19% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹56,400","₹1,40,990",49% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹28,890","₹34,990",21% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹89,990","₹1,29,999",45% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹18,990","₹84,233",23% off,AMD Ryzen 3 Octa Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹99,990","₹76,021",18% off,AMD Ryzen 7 Octa Core Processor,1 TB SSD,64 bit Windows 11 Operating System
CHUWI,"₹59,999","₹51,999",21% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹50,999","₹61,023",28% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
DELL,"₹41,990","₹1,56,990",25% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹52,990","₹84,381",13% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹94,990","₹91,616",13% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹35,599","₹50,990",31% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹79,490","₹92,999",28% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
DELL,"₹33,990","₹49,990",21% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹79,990","₹94,990",39% off,AMD Ryzen 7 Octa Core Processor,1 TB SSD,Windows 11 Operating System
ASUS,"₹34,990","₹51,134",7% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹65,990","₹51,999",21% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹37,380","₹34,990",15% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹43,990","₹49,990",51% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹16,990","₹1,07,990",27% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹34,990","₹58,990",17% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹82,990","₹1,44,999",30% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
DELL,"₹33,490","₹85,999",18% off,Intel Core i7 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹69,990",22% off,Intel Core i5 Processor (10th Gen),512 GB SSD,Windows 11 Home Operating System
MSI,"₹65,990","₹33,990",23% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹59,990","₹34,990",44% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹19,990","₹34,990",22% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹1,90,990",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Apple,"₹18,990","₹1,59,839",45% off,Apple M3 Processor,256 GB SSD,Mac OS Operating System
MSI,"₹1,26,990","₹51,999",27% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,38,990","₹1,29,999",31% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹1,34,900","₹59,990",54% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹41,990","₹50,990",19% off,Intel Celeron Dual Core Processor,256 GB SSD,64 bit Windows 11 Operating System
MSI,"₹99,990","₹61,023",23% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
MSI,"₹37,990","₹92,999",31% off,Intel Core i9 Processor (13th Gen),2 TB SSD,Windows 11 Operating System
SAMSUNG,"₹33,990","₹68,190",33% off,Intel Core 7 Processor,1 TB SSD,64 bit Windows 11 Operating System
CHUWI,"₹52,990","₹34,990",13% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹79,990","₹1,29,999",13% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹49,990","₹74,990",35% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹18,990","₹51,999",26% off,Intel Core i3 Processor (11th Gen),256 GB SSD,Windows 10 Operating System
HP,"₹99,990","₹34,990",27% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹44,990","₹64,094",31% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹43,990","₹93,990",54% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹16,990","₹1,44,999",44% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹55,990","₹85,999",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹64,990","₹89,650",24% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹1,12,990","₹46,990",29% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹65,990","₹79,990",15% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
HP,"₹42,999","₹68,811",22% off,AMD Ryzen 5 Hexa Core Processor,1 TB SSD,Windows 11 Operating System
SAMSUNG,"₹32,870","₹34,990",50% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹59,990","₹51,999",16% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹63,990","₹92,990",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹12,990","₹35,208",23% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Linux/Ubuntu Operating System
Acer,"₹41,990","₹61,023",40% off,Intel Core i3 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹68,990","₹92,999",13% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹23,999","₹75,990",56% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
CHUWI,"₹52,990","₹49,990",36% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹79,990","₹81,999",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹51,990","₹1,00,239",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹34,990","₹51,999",28% off,AMD Ryzen 3 Dual Core Processor,512 GB SSD,DOS Operating System
HP,"₹43,990","₹34,990",32% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹71,954","₹51,266",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹43,990","₹1,44,999",13% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹16,990","₹85,999",39% off,AMD Ryzen 3 Quad Core Processor,1 TB SSD,Windows 11 Operating System
ZEBRONICS,"₹36,990","₹55,000",57% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
DELL,"₹1,12,990","₹59,990",13% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹65,990","₹85,000",33% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹32,560","₹36,990",13% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
DELL,"₹36,990","₹34,990",30% off,Intel Core i7 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
MSI,"₹51,999","₹34,990",56% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹23,990","₹92,990",36% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹78,900",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹18,990","₹51,999",33% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹68,990","₹1,29,999",24% off,Intel Celeron Dual Core Processor,256 GB SSD,Windows 11 Operating System
HP,"₹61,999","₹99,527",30% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹41,990","₹1,62,990",26% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹99,990","₹83,990",15% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹79,990","₹1,27,000",51% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
MSI,"₹1,29,990","₹61,023",30% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Lenovo,"₹79,990","₹92,999",23% off,Intel Core i3 Processor (11th Gen),256 GB SSD,Windows 10 Operating System
Acer,"₹64,762","₹93,463",43% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹1,02,990",22% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
HP,"₹79,990","₹51,999",23% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹67,700","₹34,990",14% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Lenovo,"₹73,990","₹99,990",41% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹43,990","₹98,990",62% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹16,990","₹1,16,990",45% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹85,190","₹50,990",33% off,Intel Core i5 Processor (10th Gen),512 GB SSD,Windows 11 Home Operating System
ASUS,"₹69,000","₹1,44,999",13% off,AMD Ryzen 7 Octa Core Processor,1 TB SSD,Windows 11 Operating System
Lenovo,"₹60,999","₹85,999",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹36,990","₹27,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹67,990",36% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Acer,"₹65,990","₹34,990",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Ultimus,"₹21,990","₹34,990",13% off,Intel Celeron Dual Core Processor,256 GB SSD,Windows 11 Operating System
DELL,"₹47,990","₹1,33,990",13% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
DELL,"₹12,990","₹54,552",33% off,Intel Core i7 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
Acer,"₹18,990","₹80,990",36% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹99,990","₹93,999",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹44,990","₹51,999",41% off,AMD Ryzen 7 Octa Core Processor,1 TB SSD,Windows 11 Operating System
Lenovo,"₹57,990","₹1,29,999",23% off,Intel Core i7 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
CHUWI,"₹60,999","₹2,10,900",26% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹41,990","₹49,990",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹99,990","₹61,023",23% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Home Operating System
Lenovo,"₹99,999","₹92,999",40% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
MICROSOFT,"₹39,599","₹49,999",15% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹6,29,890",51% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Home Operating System
CHUWI,"₹79,990","₹80,990",12% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹22,990","₹1,31,190",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
WINGS,"₹4,49,990","₹51,999",22% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ZEBRONICS,"₹64,999","₹34,990",23% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹90,990","₹1,14,990",52% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹43,990","₹31,964",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹16,990","₹1,44,999",25% off,Intel Core i7 Processor (11th Gen),1 TB SSD,64 bit Windows 11 Home Operating System
DELL,"₹76,990","₹85,999",7% off,Intel Core i7 Processor (13th Gen),1 TB SSD,64 bit Windows 11 Operating System
Acer,"₹28,990","₹1,21,990",62% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹1,12,990","₹25,990",19% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹65,990","₹80,587",25% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹89,990","₹83,022",31% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹20,990","₹34,990",13% off,Intel Celeron Dual Core Processor,256 GB SSD,64 bit Windows 11 Operating System
Apple,"₹67,151","₹34,990",13% off,Apple M3 Processor,256 GB SSD,Mac OS Operating System
Acer,"₹51,990","₹64,690",31% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹1,03,490",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹18,990","₹51,999",46% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Apple,"₹43,990","₹1,29,999",28% off,Apple M3 Processor,512 GB SSD,Mac OS Operating System
Lenovo,"₹72,960","₹56,000",40% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹41,990","₹74,990",52% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹99,990","₹79,990",30% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹2,39,900","₹61,023",25% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
MICROSOFT,"₹34,190","₹92,999",30% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹51,990","₹93,527",15% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit DOS Operating System
CHUWI,"₹66,790","₹83,999",51% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹52,990","₹51,999",27% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹79,990","₹34,990",22% off,Intel Core Ultra 7 Processor,1 TB SSD,Windows 11 Operating System
HP,"₹73,969","₹62,990",23% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Home Operating System
Infinix,"₹54,271","₹92,999",40% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹43,990","₹98,534",38% off,Intel Core i3 Processor (11th Gen),256 GB SSD,64 bit Windows 10 Operating System
HP,"₹16,990","₹78,999",38% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹39,990","₹1,44,999",35% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹79,990","₹85,999",62% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹89,990","₹83,990",45% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹38,990","₹34,990",25% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹34,990",21% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹65,990","₹1,05,190",19% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹58,999","₹34,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹1,14,900","₹54,990",19% off,AMD Ryzen 7 Octa Core Processor,1 TB SSD,Windows 11 Home Operating System
ZEBRONICS,"₹12,990","₹1,05,990",20% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹18,990","₹51,999",4% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹70,190","₹1,29,999",49% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹28,180","₹61,990",13% off,AMD Ryzen Z1 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Apple,"₹37,990","₹1,53,890",13% off,Apple M3 Processor,256 GB SSD,Mac OS Operating System
CHUWI,"₹82,990","₹61,023",27% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹41,990","₹80,314",28% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹99,990","₹36,965",20% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹81,999",21% off,Intel Celeron Dual Core Processor,256 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹1,14,190","₹61,990",27% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹52,990","₹1,95,990",25% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹64,391","₹51,999",23% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹31,490","₹34,990",15% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹43,990","₹1,14,990",51% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹52,990","₹76,390",14% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹1,53,990","₹1,44,999",30% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
HP,"₹43,990","₹85,999",47% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹16,990","₹62,990",27% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
